timestamp_ms,exchange,symbol,interval_h,rate_raw,rate_per_hour,hour_bucket
1767128436321,Asterdex,ENA,8.000000,0.0000509500,0.0000063687,490869
1767128436321,Asterdex,ENSO,1.000000,-0.0001894700,-0.0001894700,490869
1767128436321,Asterdex,ESPORTS,4.000000,0.0000500000,0.0000125000,490869
1767128436321,Asterdex,ETC,8.000000,0.0001000000,0.0000125000,490869
1767128436321,Asterdex,ETH,8.000000,0.0000847700,0.0000105963,490869
1767128436321,Asterdex,EUL,1.000000,0.0000125000,0.0000125000,490869
1767128436321,Asterdex,EVAA,1.000000,0.0001403500,0.0001403500,490869
1767128436321,Asterdex,FARTCOIN,4.000000,0.0000500000,0.0000125000,490869
1767128436321,Asterdex,FF,1.000000,0.0000125000,0.0000125000,490869
1767128436321,Asterdex,FIL,1.000000,0.0000125000,0.0000125000,490869
1767128436321,Asterdex,FLOCK,4.000000,0.0000425100,0.0000106275,490869
1767128436321,Asterdex,FLUX,1.000000,-0.0000668600,-0.0000668600,490869
1767128436321,Asterdex,FOLKS,1.000000,0.0001237900,0.0001237900,490869
1767128436321,Asterdex,FORM,1.000000,0.0000125000,0.0000125000,490869
1767128436321,Asterdex,GALA,8.000000,-0.0003337800,-0.0000417225,490869
1767128436321,Asterdex,GIGGLE,1.000000,0.0000125000,0.0000125000,490869
1767128436321,Asterdex,GOOG,8.000000,0.0000500000,0.0000062500,490869
1767128436321,Asterdex,GRASS,1.000000,0.0000125000,0.0000125000,490869
1767128436321,Asterdex,GUA,1.000000,0.0002391100,0.0002391100,490869
1767128436321,Asterdex,H,1.000000,0.0000747400,0.0000747400,490869
1767128436321,Asterdex,HAY,8.000000,0.0001000000,0.0000125000,490869
1767128436321,Asterdex,HEMI,4.000000,-0.0003583700,-0.0000895925,490869
1767128436321,Asterdex,HOLO,4.000000,0.0000500000,0.0000125000,490869
1767128436321,Asterdex,HYPE,4.000000,-0.0000704600,-0.0000176150,490869
1767128436321,Asterdex,ICP,1.000000,0.0000125000,0.0000125000,490869
1767128436321,Asterdex,IN,4.000000,-0.0002687000,-0.0000671750,490869
1767128436321,Asterdex,INJ,8.000000,0.0001000000,0.0000125000,490869
1767128436321,Asterdex,IR,1.000000,0.0000731700,0.0000731700,490869
1767128436321,Asterdex,IRYS,1.000000,0.0000125000,0.0000125000,490869
1767128436321,Asterdex,JCT,1.000000,0.0000948600,0.0000948600,490869
1767128436321,Asterdex,JELLYJELLY,1.000000,0.0001426900,0.0001426900,490869
1767128436321,Asterdex,KGEN,1.000000,0.0000605800,0.0000605800,490869
1767128436321,Asterdex,KITE,1.000000,0.0000125000,0.0000125000,490869
1767128436321,Asterdex,LAB,1.000000,0.0002840000,0.0002840000,490869
1767128436321,Asterdex,LDO,8.000000,0.0001000000,0.0000125000,490869
1767128436321,Asterdex,LIGHT,1.000000,0.0002315100,0.0002315100,490869
1767128436321,Asterdex,LINEA,8.000000,0.0001000000,0.0000125000,490869
1767128436321,Asterdex,LINK,8.000000,0.0001000000,0.0000125000,490869
1767128436321,Asterdex,LISTA,4.000000,0.0000500000,0.0000125000,490869
1767128436321,Asterdex,LIT,1.000000,0.0001061400,0.0001061400,490869
1767128436321,Asterdex,LTC,8.000000,0.0000699800,0.0000087475,490869
1767128436321,Asterdex,LUNA2,1.000000,-0.0001436600,-0.0001436600,490869
1767128436321,Asterdex,LYN,1.000000,-0.0000344600,-0.0000344600,490869
1767128436321,Asterdex,MET,1.000000,0.0000125000,0.0000125000,490869
1767128436321,Asterdex,META,8.000000,0.0001000000,0.0000125000,490869
1767128436321,Asterdex,MITO,4.000000,0.0000500000,0.0000125000,490869
1767128436321,Asterdex,MKR,8.000000,0.0001000000,0.0000125000,490869
1767128436321,Asterdex,MMT,1.000000,0.0000125000,0.0000125000,490869
1767128436321,Asterdex,MON,1.000000,0.0000125000,0.0000125000,490869
1767128436321,Asterdex,MOODENG,8.000000,0.0000656400,0.0000082050,490869
1767128436321,Asterdex,MSFT,8.000000,0.0001000000,0.0000125000,490869
1767128436321,Asterdex,NB,1.000000,0.0000125000,0.0000125000,490869
1767128436321,Asterdex,NEAR,8.000000,0.0001000000,0.0000125000,490869
1767128436321,Asterdex,NEIRO,8.000000,-0.0000067800,-0.0000008475,490869
1767128436321,Asterdex,NIGHT,1.000000,-0.0003464400,-0.0003464400,490869
1767128436321,Asterdex,NVDA,8.000000,0.0000500000,0.0000062500,490869
1767128436321,Asterdex,ON,1.000000,0.0001293900,0.0001293900,490869
